epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5257.37,0.57647,0.62764,1.12598,0.906,0.8662,0.92595,0.86701,0.29782,0.3419,0.91433,0.00643101,0.00643101,0.00643101
43,5381.32,0.56946,0.609,1.11965,0.89317,0.8766,0.92164,0.85685,0.29602,0.34039,0.91714,0.00628101,0.00628101,0.00628101
44,5505.32,0.56841,0.60422,1.11968,0.90485,0.86585,0.93055,0.87522,0.29014,0.33315,0.91002,0.00612981,0.00612981,0.00612981
45,5629.29,0.57017,0.61177,1.1268,0.90656,0.88718,0.92945,0.87183,0.281,0.33199,0.9062,0.00597754,0.00597754,0.00597754
46,5753.43,0.54864,0.58104,1.11306,0.90204,0.87523,0.9263,0.86859,0.28445,0.3337,0.90869,0.00582435,0.00582435,0.00582435
47,5877.25,0.54761,0.58674,1.10871,0.88814,0.88959,0.93248,0.87512,0.28194,0.31925,0.90369,0.0056704,0.0056704,0.0056704
48,6001.15,0.54726,0.57065,1.10915,0.91686,0.88463,0.93402,0.87516,0.28099,0.3139,0.90437,0.00551584,0.00551584,0.00551584
49,6125.14,0.54869,0.57977,1.11106,0.90202,0.88529,0.93111,0.87494,0.27589,0.31991,0.90209,0.00536081,0.00536081,0.00536081
50,6249.47,0.54122,0.56256,1.10358,0.91569,0.88215,0.93546,0.87441,0.28145,0.30991,0.91027,0.00520548,0.00520548,0.00520548
51,6373.57,0.54032,0.55644,1.10427,0.89583,0.90528,0.93852,0.88231,0.27521,0.30434,0.90445,0.00505,0.00505,0.00505
52,6497.78,0.53929,0.55382,1.10209,0.90733,0.89511,0.93474,0.88302,0.27052,0.3074,0.89473,0.00489452,0.00489452,0.00489452
53,6621.91,0.53418,0.55299,1.10077,0.91968,0.88277,0.93329,0.87773,0.2764,0.3134,0.90472,0.00473919,0.00473919,0.00473919
54,6745.92,0.52742,0.53199,1.09254,0.91162,0.89265,0.93465,0.87874,0.26929,0.30907,0.89798,0.00458416,0.00458416,0.00458416
